,zip_code,case_count
0,00000,30
1,10000,16
2,10001,8518
3,10002,5342
4,10003,8256
5,10004,2000
6,10005,1838
7,10006,1035
8,10007,1938
9,10009,3334
10,10010,6063
11,10011,8687
12,10012,6109
13,10013,8578
14,10014,6546
15,10016,8138
16,10017,7319
17,10018,6110
18,10019,9488
19,10020,855
20,10021,5238
21,10022,11213
22,10023,6652
23,10024,5913
24,10025,6607
25,10026,1751
26,10027,4502
27,10028,4652
28,10029,3052
29,10030,1226
30,10031,2444
31,10032,2727
32,10033,1910
33,10034,1210
34,10035,1850
35,10036,7783
36,10037,573
37,10038,2906
38,10039,669
39,10040,1184
40,10041,233
41,10044,309
42,10055,118
43,10065,5744
44,10069,286
45,10075,2680
46,10103,101
47,10105,162
48,10106,169
49,10107,180
50,10110,56
51,10112,300
52,10115,87
53,10118,568
54,10119,678
55,10120,179
56,10121,91
57,10122,66
58,10123,7
59,10128,4937
60,10151,82
61,10155,126
62,10158,84
63,10162,7
64,10167,74
65,10168,75
66,10169,152
67,10170,88
68,10171,90
69,10172,92
70,10173,39
71,10174,119
72,10175,57
73,10176,63
74,10177,70
75,10178,80
76,10271,102
77,10278,4
78,10280,619
79,10281,608
80,10282,308
81,10301,1700
82,10302,737
83,10303,867
84,10304,1882
85,10305,1806
86,10306,3647
87,10307,963
88,10308,996
89,10309,1837
90,10310,867
91,10312,2596
92,10314,3578
93,10451,1858
94,10452,1481
95,10453,1429
96,10454,1232
97,10455,1336
98,10456,1821
99,10457,1890
100,10458,2035
101,10459,1185
102,10460,1343
103,10461,1546
104,10462,1633
105,10463,1953
106,10464,307
107,10465,1181
108,10466,1278
109,10467,1930
110,10468,1495
111,10469,1265
112,10470,312
113,10471,903
114,10472,1215
115,10473,956
116,10474,655
117,10475,711
118,11001,168
119,11004,731
120,11005,31
121,11040,168
122,11101,6228
123,11102,1809
124,11103,1663
125,11104,749
126,11105,1872
127,11106,1705
128,11109,70
129,11201,7992
130,11203,1574
131,11204,2812
132,11205,3260
133,11206,4324
134,11207,3653
135,11208,2443
136,11209,2491
137,11210,1994
138,11211,4902
139,11212,2214
140,11213,2619
141,11214,2551
142,11215,5620
143,11216,4626
144,11217,4298
145,11218,2342
146,11219,3481
147,11220,4355
148,11221,6213
149,11222,3889
150,11223,2685
151,11224,1733
152,11225,2395
153,11226,3543
154,11228,1720
155,11229,3199
156,11230,2753
157,11231,3335
158,11232,2383
159,11233,3312
160,11234,2243
161,11235,3730
162,11236,1462
163,11237,3098
164,11238,4617
165,11239,307
166,11249,2761
167,11251,5
168,11354,3957
169,11355,3552
170,11356,1096
171,11357,2571
172,11358,2148
173,11359,6
174,11360,739
175,11361,2046
176,11362,1151
177,11363,448
178,11364,1732
179,11365,1862
180,11366,906
181,11367,1341
182,11368,3451
183,11369,1039
184,11370,586
185,11372,1771
186,11373,3107
187,11374,1513
188,11375,2495
189,11377,2462
190,11378,1316
191,11379,886
192,11385,3602
193,11411,568
194,11412,1054
195,11413,1370
196,11414,1289
197,11415,493
198,11416,563
199,11417,966
200,11418,1055
201,11419,1034
202,11420,1481
203,11421,785
204,11422,815
205,11423,868
206,11426,714
207,11427,622
208,11428,482
209,11429,654
210,11430,63
211,11432,2610
212,11433,1137
213,11434,1907
214,11435,1921
215,11436,696
216,11691,1928
217,11692,1206
218,11693,1571
219,11694,1196
220,11695,3
221,11697,2478
