,zip_code,total_consumption_gallons,boiler_installation_date
0,10001,12352480,351629
1,10002,1850799,51694
2,10003,9808501,287956
3,10004,1081638,13897
4,10005,85200,1969
5,10006,292488,7955
6,10007,1237908,33715
7,10009,668625,33747
8,10010,7803832,224496
9,10011,10009715,308071
10,10012,2623708,101403
11,10013,4716058,118984
12,10014,4797873,162966
13,10016,14434541,357645
14,10017,5828683,131167
15,10018,10260794,280374
16,10019,7276154,208751
17,10021,23574525,596363
18,10022,9041884,214829
19,10023,14188389,341822
20,10024,18310108,489225
21,10025,21803229,614249
22,10026,1397306,55766
23,10027,5382187,191120
24,10028,13213364,335943
25,10029,3554055,87554
26,10030,1264519,59718
27,10031,6133490,278590
28,10032,9338723,419975
29,10033,11618526,483378
30,10034,8135459,379834
31,10035,402648,13912
32,10036,6189336,158987
33,10037,2181374,35918
34,10038,1104671,17890
35,10039,1669923,37851
36,10040,8844696,328210
37,10044,14400,2003
38,10065,49275,2008
39,10069,848502,10026
40,10075,414897,14056
41,10128,13053029,340056
42,10154,121545,2006
43,10173,288400,1980
44,10280,849000,9937
45,10301,916366,17897
46,10303,54599,1993
47,10304,258311,3945
48,10305,38400,1979
49,10306,401805,3996
50,10312,164250,1983
51,10451,4439084,129311
52,10452,9531165,377983
53,10453,8129255,355990
54,10454,1676006,37840
55,10455,1153711,59728
56,10456,4124627,179143
57,10457,6424558,316286
58,10458,9014167,451250
59,10459,993897,55635
60,10460,3705089,143193
61,10461,4239286,155136
62,10462,5676963,204791
63,10463,14011766,433515
64,10464,49275,1989
65,10465,261485,11960
66,10466,2462486,127256
67,10467,13519693,574580
68,10468,12915650,534852
69,10469,1677062,31859
70,10470,1364573,53777
71,10471,5265820,115360
72,10472,4546591,192826
73,10473,3682416,37932
74,10474,858656,33834
75,10475,149358,2007
76,11001,52877,1974
77,11004,29565,1996
78,11012,33375,2005
79,11101,5065055,144973
80,11102,1115705,41730
81,11103,390545,31900
82,11104,3569296,145419
83,11105,1049623,45621
84,11106,2452761,79573
85,11201,1846455,39647
86,11203,451683,19878
87,11204,518554,25793
88,11205,78840,2000
89,11206,663317,15910
90,11207,166786,8005
91,11208,176729,7966
92,11209,1614782,61554
93,11210,700190,29792
94,11211,185693,11916
95,11212,820484,15917
96,11213,549718,23867
97,11214,2129339,41648
98,11215,497307,17881
99,11216,30000,1989
100,11217,45000,1982
101,11218,1714311,55769
102,11219,1189697,57580
103,11220,139410,7921
104,11221,59620,5949
105,11222,85558,3969
106,11223,601108,23856
107,11224,130816,2002
108,11225,1112583,43713
109,11226,2509597,115291
110,11228,56722,3967
111,11229,839541,31803
112,11230,1534266,69562
113,11232,200046,3952
114,11234,86672,9936
115,11235,1410925,41776
116,11237,146162,3946
117,11238,518884,15910
118,11353,37668,2007
119,11354,3539822,113333
120,11355,6504547,159223
121,11357,2196115,81726
122,11358,495390,21856
123,11360,2283743,57761
124,11361,1289676,47748
125,11362,463203,33745
126,11363,255646,7941
127,11364,3919189,119191
128,11365,2385570,63580
129,11367,2754108,97432
130,11368,518458,17902
131,11369,88500,5962
132,11370,33580,1969
133,11372,3568212,127358
134,11373,2498804,91498
135,11374,3704059,105534
136,11375,4423697,133166
137,11377,767984,27790
138,11378,54531,3990
139,11379,120000,1987
140,11385,102820,5931
141,11414,354325,7969
142,11415,1444679,45746
143,11416,24309,1986
144,11418,404662,13863
145,11419,23761,1985
146,11420,24638,1986
147,11421,216035,13885
148,11423,326064,11968
149,11428,189253,7928
150,11429,45526,2000
151,11430,68300,1977
152,11432,886950,29834
153,11433,80000,1981
154,11434,30975,1990
155,11435,968097,31816
156,11747,21681,2006
