,zip_code,boiler_capacity,total_cosumption
0,10000,626.75,6814301
1,10001,378.38,3987039
2,10002,205.78999999999996,1573267
3,10003,465.29,5008837
4,10004,115.86999999999999,1081638
5,10005,13.43,124036
6,10006,42.980000000000004,330094
7,10007,220.48000000000002,1262922
8,10009,3.9000000000000004,69350
9,10010,251.59,2569570
10,10011,213.84000000000006,2344091
11,10012,255.09000000000006,2544607
12,10013,461.63999999999993,4806484
13,10014,401.90000000000015,3901535
14,10016,514.25,5855825
15,10017,168.66,2122555
16,10018,484.3299999999999,4763001
17,10019,145.9,1968311
18,10021,194.04000000000002,1990640
19,10022,335.15999999999997,4137797
20,10023,152.01000000000005,1703503
21,10024,293.72,3130623
22,10025,424.41,4603870
23,10026,70.48,656721
24,10027,349.1000000000001,3551357
25,10028,323.25999999999993,3750763
26,10029,288.92,2062831
27,10030,38.53000000000001,359445
28,10031,238.54000000000005,2273243
29,10032,551.91,5189923
30,10033,670.1900000000004,6875521
31,10034,562.0400000000001,5545624
32,10035,5.65,80000
33,10036,95.03999999999999,1370939
34,10037,88.62,1205761
35,10038,115.44,1104671
36,10039,36.67,473698
37,10040,630.7799999999999,6957879
38,10065,203.32000000000005,2512801
39,10069,44.31,1104029
40,10075,87.93,1161778
41,10128,575.8999999999999,6263039
42,10154,8.4,60773
43,10167,15.1,114125
44,10169,29.0,298497
45,10173,13.8,288400
46,10177,10.8,57330
47,10280,44.800000000000004,699000
48,10301,81.32,916366
49,10303,7.0,54599
50,10304,25.1,258311
51,10305,0.0,38400
52,10306,25.2,401805
53,10312,0.0,164250
54,10451,215.92000000000004,2127250
55,10452,756.1800000000003,7546055
56,10453,572.0400000000001,6022683
57,10454,24.490000000000002,165972
58,10455,94.51,865751
59,10456,283.05,2725781
60,10457,452.39999999999986,4264264
61,10458,485.2899999999996,5012485
62,10459,75.0,762819
63,10460,243.81,3066681
64,10461,322.03000000000003,3846251
65,10462,516.7500000000001,5250026
66,10463,1165.7599999999995,11500185
67,10464,5.25,49275
68,10465,27.499999999999996,261485
69,10466,138.48999999999998,1294976
70,10467,1167.0299999999995,12104697
71,10468,842.4700000000005,9243070
72,10469,110.30999999999999,1647062
73,10470,65.59,660570
74,10471,3720.9100000000003,4798839
75,10472,539.4100000000002,4171532
76,10473,264.18,3682416
77,10474,107.86,858656
78,10475,26.650000000000002,346750
79,11001,11.0,52877
80,11004,2.94,29565
81,11101,529.96,4908434
82,11102,112.01999999999998,1115705
83,11103,50.20999999999999,390545
84,11104,367.36000000000007,3693724
85,11105,120.12999999999997,1071304
86,11106,189.84000000000003,2362168
87,11201,140.90000000000003,1846455
88,11203,33.3,335352
89,11204,35.61000000000001,347054
90,11205,6.3,78840
91,11206,70.34,663317
92,11207,15.54,166786
93,11208,8.8,78179
94,11209,156.81,1713332
95,11210,38.12,410621
96,11211,14.299999999999999,169268
97,11212,51.27,422573
98,11213,46.32000000000001,549718
99,11214,123.43,1748643
100,11215,120.56999999999998,1335989
101,11217,6.2,45000
102,11218,111.99000000000001,1167518
103,11219,130.25,1189697
104,11220,27.86,197215
105,11221,9.940000000000001,59620
106,11222,11.39,85558
107,11223,34.7,339966
108,11224,5.02,130816
109,11225,111.1,1112583
110,11226,179.63,1764131
111,11228,5.2,56722
112,11229,47.21,494926
113,11230,73.36,735258
114,11232,51.760000000000005,298706
115,11234,19.72,19237
116,11235,126.45,1368585
117,11237,6.1,16587
118,11238,47.35,518884
119,11354,368.07000000000005,3501426
120,11355,559.7200000000001,6542215
121,11357,211.28000000000003,2196115
122,11358,52.81000000000001,495390
123,11360,195.18999999999997,2283743
124,11361,133.9,1289676
125,11362,75.44999999999999,463203
126,11363,23.869999999999997,255646
127,11364,344.92000000000013,3860059
128,11365,187.64999999999992,2135125
129,11367,244.56,2754108
130,11368,54.18999999999999,518458
131,11369,10.23,88500
132,11370,3.2,33580
133,11372,349.9000000000001,3568212
134,11373,243.82000000000002,2163734
135,11374,327.8300000000002,3704059
136,11375,466.43,4423697
137,11377,66.01,636584
138,11378,6.05,54531
139,11379,10.36,120000
140,11385,21.409999999999997,232395
141,11414,30.54,354325
142,11415,139.56,1444679
143,11416,2.59,24309
144,11418,34.42000000000001,404662
145,11419,2.9,23761
146,11420,2.52,24638
147,11421,29.880000000000003,216035
148,11423,34.489999999999995,326064
149,11428,28.84,189253
150,11429,5.1,45526
151,11430,3.8,68300
152,11432,77.32000000000001,886950
153,11433,11.8,80000
154,11434,2.71,30975
155,11435,86.99000000000001,968097
