Neighborhood_UHF_42,Mean_mcg_per_cubic_meter
Bronx: Crotona -Tremont,9.7
Bronx: Fordham - Bronx Pk,9.1
Bronx: High Bridge - Morrisania,9.6
Bronx: Hunts Point - Mott Haven,9.6
Bronx: Kingsbridge - Riverdale,9.2
Bronx: Northeast Bronx,9.1
Bronx: Pelham - Throgs Neck,8.9
Brooklyn: Bedford Stuyvesant - Crown Heights,8.9
Brooklyn: Bensonhurst - Bay Ridge,8.1
Brooklyn: Borough Park,8.4
Brooklyn: Canarsie - Flatlands,8.1
Brooklyn: Coney Island - Sheepshead Bay,7.7
Brooklyn: Downtown - Heights - Slope,9.9
Brooklyn: East Flatbush - Flatbush,8.6
Brooklyn: East New York,8.7
Brooklyn: Greenpoint,10.5
Brooklyn: Sunset Park,9.4
Brooklyn: Williamsburg - Bushwick,9.6
Manhattan: Central Harlem - Morningside Heights,9.4
Manhattan: Chelsea - Clinton,11.4
Manhattan: East Harlem,9.5
Manhattan: Gramercy Park - Murray Hill,11.7
Manhattan: Greenwich Village - SoHo,10.6
Manhattan: Lower Manhattan,10.5
Manhattan: Union Square - Lower East Side,10.1
Manhattan: Upper East Side,10.2
Manhattan: Upper West Side,9.8
Manhattan: Washington Heights,9.4
Queens: Bayside - Little Neck,8.3
Queens: Flushing - Clearview,8.4
Queens: Fresh Meadows,8.2
Queens: Jamaica,8.2
Queens: Long Island City - Astoria,9.8
Queens: Ridgewood - Forest Hills,8.5
Queens: Rockaways,7.2
Queens: Southeast Queens,7.9
Queens: Southwest Queens,8.1
Queens: West Queens,9.2
Staten Island: Port Richmond,8.3
Staten Island: South Beach - Tottenville,7.3
Staten Island: Stapleton - St. George,7.8
Staten Island: Willowbrook,8
