,ZIP Codes,pm
0,10453,9.7
1,10457,9.7
2,10460,9.7
3,10458,9.1
4,10467,9.1
5,10468,9.1
6,10451,9.6
7,10452,9.6
8,10456,9.6
9,10454,9.6
10,10455,9.6
11,10459,9.6
12,10474,9.6
13,10463,9.2
14,10471,9.2
15,10466,9.1
16,10469,9.1
17,10470,9.1
18,10475,9.1
19,10461,8.9
20,10462,8.9
21,10464,8.9
22,10465,8.9
23,10472,8.9
24,10473,8.9
25,11212,8.9
26,11213,8.9
27,11216,8.9
28,11233,8.9
29,11238,8.9
30,11209,8.1
31,11214,8.1
32,11228,8.1
33,11204,8.4
34,11218,8.4
35,11219,8.4
36,11230,8.4
37,11234,8.1
38,11236,8.1
39,11239,8.1
40,11223,7.7
41,11224,7.7
42,11229,7.7
43,11235,7.7
44,11201,9.9
45,11205,9.9
46,11215,9.9
47,11217,9.9
48,11231,9.9
49,11203,8.6
50,11210,8.6
51,11225,8.6
52,11226,8.6
53,11207,8.7
54,11208,8.7
55,11211,10.5
56,11222,10.5
57,11220,9.4
58,11232,9.4
59,11206,9.6
60,11221,9.6
61,11237,9.6
62,10026,9.4
63,10027,9.4
64,10030,9.4
65,10037,9.4
66,10039,9.4
67,10001,11.4
68,10011,11.4
69,10018,11.4
70,10019,11.4
71,10020,11.4
72,10036,11.4
73,10029,9.5
74,10035,9.5
75,10010,11.7
76,10016,11.7
77,10017,11.7
78,10022,11.7
79,10012,10.6
80,10013,10.6
81,10014,10.6
82,10004,10.5
83,10005,10.5
84,10006,10.5
85,10007,10.5
86,10038,10.5
87,10280,10.5
88,10002,10.1
89,10003,10.1
90,10009,10.1
91,10021,10.2
92,10028,10.2
93,10044,10.2
94,10065,10.2
95,10075,10.2
96,10128,10.2
97,10023,9.8
98,10024,9.8
99,10025,9.8
100,10031,9.4
101,10032,9.4
102,10033,9.4
103,10034,9.4
104,10040,9.4
105,11361,8.3
106,11362,8.3
107,11363,8.3
108,11364,8.3
109,11354,8.4
110,11355,8.4
111,11356,8.4
112,11357,8.4
113,11358,8.4
114,11359,8.4
115,11360,8.4
116,11365,8.2
117,11366,8.2
118,11367,8.2
119,11412,8.2
120,11423,8.2
121,11432,8.2
122,11433,8.2
123,11434,8.2
124,11435,8.2
125,11436,8.2
126,11101,9.8
127,11102,9.8
128,11103,9.8
129,11104,9.8
130,11105,9.8
131,11106,9.8
132,11374,8.5
133,11375,8.5
134,11379,8.5
135,11385,8.5
136,11691,7.2
137,11692,7.2
138,11693,7.2
139,11694,7.2
140,11695,7.2
141,11697,7.2
142,11004,7.9
143,11005,7.9
144,11411,7.9
145,11413,7.9
146,11422,7.9
147,11426,7.9
148,11427,7.9
149,11428,7.9
150,11429,7.9
151,11414,8.1
152,11415,8.1
153,11416,8.1
154,11417,8.1
155,11418,8.1
156,11419,8.1
157,11420,8.1
158,11421,8.1
159,11368,9.2
160,11369,9.2
161,11370,9.2
162,11372,9.2
163,11373,9.2
164,11377,9.2
165,11378,9.2
166,10302,8.3
167,10303,8.3
168,10310,8.3
169,10306,7.3
170,10307,7.3
171,10308,7.3
172,10309,7.3
173,10312,7.3
174,10301,7.8
175,10304,7.8
176,10305,7.8
177,10314,8.0
